App,Category,Rating,Reviews
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159
Coloring book moana,ART_AND_DESIGN,3.9,967
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967
SKencar,AUTO_AND_VEHICLES,3.7,4806
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786
auto fines,AUTO_AND_VEHICLES,4.6,31433
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680
Gas Station,AUTO_AND_VEHICLES,4,1288
Hush - Beauty for Everyone,BEAUTY,4.7,18900
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790
Natural recipes for your beauty,BEAUTY,4.7,1150
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739
Mirror - Zoom & Exposure -,BEAUTY,3.9,32090
Beauty Selfie Camera,BEAUTY,4.2,2225
Hairstyles step by step,BEAUTY,4.6,4369
Filters for Selfie,BEAUTY,4.3,8572
Y! Mobile menu,BUSINESS,NaN,9
SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805
Genius Scan - PDF Scanner,BUSINESS,4.4,42492
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,286897
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755
